tax	barcode01_1	barcode01_2	barcode01_3	barcode02_1	barcode02_2	barcode02_3	barcode03_1	barcode03_2	barcode03_3	barcode04_1	barcode04_2	barcode04_3	barcode05_1	barcode05_2	barcode05_3	barcode06_1	barcode06_2	barcode06_3	barcode07_1	barcode07_2	barcode07_3	barcode08_1	barcode08_2	barcode08_3	barcode09_1	barcode09_2	barcode09_3	barcode10_1	barcode10_2	barcode10_3	barcode11_1	barcode11_2	barcode11_3	barcode12_1	barcode12_2	barcode12_3	barcode13_1	barcode13_2	barcode13_3	barcode14_1	barcode14_2	barcode14_3	barcode15_1	barcode15_2	barcode15_3	barcode16_1	barcode16_2	barcode16_3	barcode21_1	barcode21_2	barcode21_3	barcode22_1	barcode22_2	barcode22_3	barcode23_1	barcode23_2	barcode23_3	barcode24_1	barcode24_2	barcode24_3	total
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	8791	2541	2323	11350	3126	2890	9911	2857	2606	8750	2288	2317	6562	1785	1596	7015	1944	1912	5072	1415	1308	5194	1413	1421	4327	1257	1200	3520	951	875	1542	428	398	1541	429	403	10857	2941	2770	10019	2792	2666	3706	919	979	2772	764	742	387	104	86	495	114	118	15	5	6	11	2	2	156530
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Roseibium	22	4	5	29	7	6	23	9	9	6507	1814	1655	5489	1483	1228	9359	2687	2463	168	47	52	225	49	65	120	30	16	810	218	201	433	122	122	716	170	185	12632	3580	3059	11657	3392	2891	4990	1190	1287	1157	281	294	0	0	0	0	0	0	0	0	0	0	0	0	82958
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Oceaniradius	9	1	1	30	4	8	11	5	5	4870	1322	1273	4499	1179	1009	5850	1543	1510	2673	652	716	2627	730	705	2386	635	615	4035	1071	1021	1794	484	443	2287	652	550	0	0	1	0	0	0	0	0	0	4881	1292	1259	3	0	1	0	1	0	0	0	0	0	0	0	54643
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Stappia	0	0	0	0	0	0	0	0	0	634	169	201	641	176	154	887	246	234	5836	1574	1475	6475	1887	1637	5469	1633	1457	516	144	117	216	60	65	305	90	79	144	44	38	143	44	40	100	30	22	3464	1020	869	3	1	2	0	0	0	0	0	0	0	0	0	38341
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Muricauda	1886	428	532	2451	577	647	1255	327	339	2186	490	540	1845	457	468	2045	526	580	1554	384	443	2597	688	718	1627	436	455	842	173	214	240	59	69	313	78	79	904	222	232	735	168	193	343	58	92	586	170	165	2	1	0	0	0	1	0	0	0	0	0	0	32420
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Hoeflea	2231	583	668	2781	690	730	2200	578	603	349	92	91	293	67	68	486	126	120	909	236	261	946	228	216	808	216	222	642	135	182	302	78	80	359	98	76	138	38	32	128	35	33	37	11	19	205	38	51	0	0	0	1	0	0	0	0	0	1	0	0	19517
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseovarius	30	13	14	68	20	16	68	8	14	514	143	120	444	101	104	621	192	168	1498	394	380	1515	417	365	1483	422	376	1661	503	424	935	246	247	1395	377	352	201	60	60	246	69	62	92	23	21	1829	528	493	0	0	0	1	0	0	0	0	0	0	0	0	19333
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Chromatiales;Wenzhouxiangellaceae;Wenzhouxiangella	1	0	1	3	0	0	0	0	0	1894	446	565	1586	378	386	1462	399	423	822	229	223	758	225	218	635	193	204	2097	525	538	955	213	216	879	238	245	0	0	1	0	0	0	0	0	0	709	186	204	0	0	1	0	0	0	0	0	0	0	0	0	18058
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Robiginitalea	1735	416	475	1956	453	471	1654	369	428	83	41	28	76	19	20	127	24	38	724	188	205	685	212	185	628	154	136	850	227	223	309	70	81	416	86	91	0	0	0	0	0	2	0	0	0	687	159	177	1	0	0	0	0	0	0	0	1	0	0	0	14910
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Roseivirgaceae;Roseivirga	0	0	0	0	0	0	1	0	0	1364	355	408	1167	287	287	744	214	193	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3186	924	849	2551	757	655	607	138	139	21	7	9	0	0	1	0	0	0	0	0	0	0	0	0	14866
