tax	barcode01_1	barcode01_2	barcode01_3	barcode02_1	barcode02_2	barcode02_3	barcode03_1	barcode03_2	barcode03_3	barcode04_1	barcode04_2	barcode04_3	barcode05_1	barcode05_2	barcode05_3	barcode06_1	barcode06_2	barcode06_3	barcode07_1	barcode07_2	barcode07_3	barcode08_1	barcode08_2	barcode08_3	barcode09_1	barcode09_2	barcode09_3	barcode10_1	barcode10_2	barcode10_3	barcode11_1	barcode11_2	barcode11_3	barcode12_1	barcode12_2	barcode12_3	barcode13_1	barcode13_2	barcode13_3	barcode14_1	barcode14_2	barcode14_3	barcode15_1	barcode15_2	barcode15_3	barcode16_1	barcode16_2	barcode16_3	barcode21_1	barcode21_2	barcode21_3	barcode22_1	barcode22_2	barcode22_3	barcode23_1	barcode23_2	barcode23_3	barcode24_1	barcode24_2	barcode24_3	total
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	16736	4674	4552	20611	5423	5252	16590	4580	4392	21337	5555	5697	17468	4550	4117	21284	6000	5711	10684	2851	2804	11716	3069	3191	9415	2564	2627	11317	2866	2873	5114	1288	1278	5650	1496	1446	26978	7456	6801	24681	6995	6335	9578	2303	2476	8831	2434	2332	3058	720	750	4050	997	1016	16	5	6	14	2	2	374614
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Oceaniradius;Oceaniradius stylonematis	9	1	1	29	4	8	11	5	5	4737	1292	1237	4369	1153	986	5681	1489	1477	2627	643	704	2572	717	695	2348	624	600	3948	1056	1006	1768	481	436	2246	644	544	0	0	1	0	0	0	0	0	0	4811	1271	1238	3	0	1	0	1	0	0	0	0	0	0	0	53479
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Stappia;Stappia stellulata	0	0	0	0	0	0	0	0	0	598	155	184	611	169	148	832	230	222	5594	1501	1419	6221	1813	1568	5202	1571	1390	491	141	109	209	59	64	293	86	76	94	32	28	97	26	28	75	20	15	3294	965	840	2	1	2	0	0	0	0	0	0	0	0	0	36475
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Robiginitalea;Robiginitalea biformata	1701	410	464	1920	446	468	1626	362	419	83	41	28	75	18	18	123	24	38	706	186	204	669	209	182	613	151	134	831	226	218	304	70	80	414	86	90	0	0	0	0	0	2	0	0	0	682	159	175	1	0	0	0	0	0	0	0	1	0	0	0	14657
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseovarius;Roseovarius algicolus	29	12	11	63	18	15	66	8	14	382	109	85	369	81	83	419	143	114	919	248	259	968	271	231	867	235	223	877	263	234	643	172	182	946	250	231	195	59	56	238	68	61	90	23	20	670	199	184	0	0	0	1	0	0	0	0	0	0	0	0	11904
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinobacteraceae;Marinobacter;Marinobacter adhaerens	244	85	66	350	104	96	430	120	121	411	111	122	391	128	89	302	105	82	863	247	244	680	205	176	625	146	159	490	161	143	228	74	83	511	161	130	16	4	8	16	2	3	12	3	1	612	176	196	2	0	1	0	0	0	0	0	0	0	0	0	9735
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Muricauda;Muricauda brasiliensis	239	61	75	306	97	74	144	55	30	1205	301	310	1033	278	270	1118	289	312	178	49	51	267	108	78	170	53	51	98	32	20	34	9	10	53	10	7	508	141	135	407	99	101	202	40	49	29	11	7	1	0	0	0	0	1	0	0	0	0	0	0	9206
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Roseibium;Roseibium alexandrii	0	0	0	0	0	0	1	0	0	474	159	127	430	113	76	651	193	163	55	10	13	66	11	18	35	9	3	237	69	66	134	46	31	194	57	60	1099	392	245	977	336	240	402	103	120	306	92	81	0	0	0	0	0	0	0	0	0	0	0	0	7894
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Gimesia;Gimesia benthica	108	32	30	301	76	57	82	19	25	14	5	7	21	6	9	18	8	5	214	71	70	283	72	85	205	68	64	1010	272	295	344	71	75	391	98	111	0	0	0	0	1	0	0	0	0	1281	349	347	0	0	0	0	0	0	0	0	0	0	0	0	6600
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Bremerella;Bremerella volcania	10	3	1	13	3	1	14	2	3	0	0	0	0	0	0	0	0	0	1428	386	397	1070	298	279	1179	356	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	14	7	0	0	0	0	0	0	0	0	0	0	0	0	5807
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseovarius;Roseovarius atlanticus	0	1	1	1	0	1	0	0	0	73	23	22	40	11	14	112	25	26	217	59	40	179	53	57	264	89	55	624	198	155	231	62	56	353	100	100	0	0	0	0	1	0	0	0	0	948	278	252	0	0	0	0	0	0	0	0	0	0	0	0	4721
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1154	336	301	1670	456	455	0	0	0	0	0	0	4372
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;Limosilactobacillus fermentum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1124	296	276	1053	290	319	0	0	0	0	0	0	3359
