tax	barcode01_1	barcode01_2	barcode01_3	barcode02_1	barcode02_2	barcode02_3	barcode03_1	barcode03_2	barcode03_3	barcode04_1	barcode04_2	barcode04_3	barcode05_1	barcode05_2	barcode05_3	barcode06_1	barcode06_2	barcode06_3	barcode07_1	barcode07_2	barcode07_3	barcode08_1	barcode08_2	barcode08_3	barcode09_1	barcode09_2	barcode09_3	barcode10_1	barcode10_2	barcode10_3	barcode11_1	barcode11_2	barcode11_3	barcode12_1	barcode12_2	barcode12_3	barcode13_1	barcode13_2	barcode13_3	barcode14_1	barcode14_2	barcode14_3	barcode15_1	barcode15_2	barcode15_3	barcode16_1	barcode16_2	barcode16_3	barcode21_1	barcode21_2	barcode21_3	barcode22_1	barcode22_2	barcode22_3	barcode23_1	barcode23_2	barcode23_3	barcode24_1	barcode24_2	barcode24_3	total
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhizobiales;Stappiaceae;Labrenzia	22	4	5	29	7	6	23	9	9	6519	1814	1657	5510	1487	1231	9386	2688	2466	168	47	52	225	49	65	120	30	16	811	218	201	434	122	122	717	170	185	12657	3581	3062	11674	3396	2892	4990	1190	1287	1157	281	294	0	0	0	0	0	0	0	0	0	0	0	0	83085
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Unclassified_Rhizobiaceae	9	1	1	30	4	8	11	5	5	4821	1317	1267	4462	1173	1003	5796	1533	1500	2655	650	712	2605	731	701	2359	632	610	3994	1068	1005	1778	482	440	2260	650	544	0	0	1	0	0	0	0	0	0	4828	1286	1252	3	0	1	0	1	0	0	0	0	0	0	0	54194
Bacteria;Bacteria_none;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02	2762	805	757	3616	1019	1002	2636	828	683	2810	801	735	1630	446	388	1734	509	462	1463	467	359	1242	348	360	1034	330	279	2643	735	636	953	289	254	926	277	266	3404	994	893	3118	957	843	1198	318	319	1823	518	491	2	0	0	0	0	0	0	0	0	0	1	0	51363
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhizobiales;Stappiaceae;Stappia	0	0	0	0	0	0	0	0	0	635	169	202	640	174	154	887	247	234	5841	1575	1475	6477	1889	1637	5471	1633	1457	517	144	117	216	60	65	305	90	79	143	44	38	143	43	40	101	30	22	3466	1020	869	3	1	2	0	0	0	0	0	0	0	0	0	38355
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Muricauda	1890	428	532	2454	577	648	1257	327	339	2191	490	541	1845	457	468	2048	526	580	1410	341	392	2328	605	642	1409	363	389	842	173	214	240	59	69	313	78	79	904	222	233	735	168	193	344	58	92	586	170	165	2	1	0	0	0	1	0	0	0	0	0	0	31418
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Unknown Family_uncultured	1	0	1	4	0	0	0	0	0	2287	563	667	1930	469	458	1792	496	503	1004	273	262	914	270	256	786	226	242	2505	624	650	1137	249	256	1038	269	283	0	0	1	0	0	0	0	0	0	827	221	239	0	0	1	0	0	0	0	0	0	0	0	0	21704
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseovarius	30	13	14	68	20	16	68	8	14	515	143	120	445	101	104	623	193	168	1499	394	380	1515	417	365	1486	422	377	1662	503	424	935	246	247	1396	377	352	201	60	60	246	69	62	92	23	21	1830	528	492	0	0	0	1	0	0	0	0	0	0	0	0	19345
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	1289	353	318	3154	858	769	3033	819	787	378	113	100	368	104	86	298	78	85	94	24	20	78	16	19	119	41	38	31	5	8	57	13	13	16	8	9	1134	278	249	1075	290	269	529	125	151	88	26	26	303	83	76	343	85	100	15	5	6	11	1	2	18869
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Fabibacter	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5217	1470	1374	4239	1216	1096	958	238	222	21	7	9	0	0	0	0	0	0	0	0	0	0	0	0	16070
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobiaceae_uncultured	2258	591	672	2802	694	736	2216	582	606	349	92	91	292	68	68	486	126	121	154	55	61	135	28	21	102	28	30	642	135	182	302	78	80	360	99	76	0	1	0	0	0	0	0	0	0	205	38	51	0	0	0	1	0	0	0	0	0	1	0	0	15715
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Robiginitalea	1735	416	475	1960	453	471	1655	369	428	83	41	28	76	19	20	127	24	38	724	188	205	685	212	185	628	154	136	852	227	223	309	70	81	416	86	91	0	0	0	0	0	2	0	0	0	687	159	177	1	0	0	0	0	0	0	0	1	0	0	0	14917
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Parvibaculales;Parvibaculaceae;Mf105b01	0	0	0	0	0	0	0	0	0	1533	380	389	1701	456	403	1409	450	390	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1644	440	395	1762	486	469	784	208	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13509
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinobacteraceae;Marinobacter	313	101	76	383	119	105	496	134	136	555	145	153	521	157	127	442	146	125	924	260	263	756	229	190	684	162	171	858	233	230	388	136	130	885	267	226	41	15	12	42	5	7	31	11	7	956	260	267	2	0	1	0	0	0	1	0	0	0	0	0	12884
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hyphomonadaceae_uncultured	257	64	66	400	100	102	436	97	116	3	0	0	7	1	2	5	0	4	436	113	102	595	185	171	407	98	114	620	177	164	267	80	75	387	98	91	0	0	0	0	0	0	0	0	0	2714	812	708	1	0	0	0	0	0	0	0	0	1	0	0	10076
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;SH-PL14	0	0	0	1	0	0	0	0	0	1192	297	359	809	212	189	1779	479	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1028	261	260	788	184	197	361	92	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9078
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula	11	3	1	19	3	4	23	2	5	1	0	0	0	0	0	0	0	0	2158	560	570	1735	423	451	1814	497	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	15	12	0	0	0	0	0	0	0	0	0	0	0	0	8829
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;Magnetospiraceae_uncultured	2325	712	601	1353	387	315	1885	549	480	7	2	5	4	2	0	10	3	3	3	3	1	3	2	2	2	1	0	5	2	2	13	2	1	12	2	4	0	0	0	0	0	0	0	0	0	41	19	10	0	0	0	0	0	0	0	0	0	0	0	0	8773
Bacteria;Bacteria_none;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2350	653	611	3357	933	859	0	0	0	0	0	0	8766
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Terasakiellaceae;Terasakiellaceae_uncultured	1195	392	349	1600	419	405	1154	301	293	66	20	19	43	7	8	45	15	21	238	90	64	196	62	43	162	50	52	102	19	28	72	17	21	46	12	11	0	0	0	0	0	0	0	0	0	43	17	9	0	0	0	0	0	0	0	0	0	0	0	0	7706
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Saprospiraceae_uncultured	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1591	417	448	1933	503	520	1408	373	389	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7584
Bacteria;Bacteria_none;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;Balneola	15	6	6	60	14	7	4	3	5	1822	457	485	1773	474	455	886	227	243	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6946
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;Gimesia	109	32	33	304	79	58	83	19	25	14	6	7	21	6	9	19	8	5	222	72	71	291	78	87	214	69	66	1048	278	307	356	72	78	396	100	111	0	0	0	0	1	0	0	0	0	1329	361	364	0	0	0	0	0	0	0	0	0	0	0	0	6808
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1630	374	428	2743	638	719	0	0	0	0	0	0	6537
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudohongiellaceae;Pseudohongiella	489	136	128	339	94	85	284	75	77	551	147	143	307	85	77	182	59	52	425	121	128	364	105	92	427	134	133	244	65	71	194	42	45	317	87	59	0	0	0	0	0	0	0	0	0	112	23	29	1	0	0	0	0	0	0	0	0	0	0	0	6528
Bacteria;Bacteria_none;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;Gracilimonas	1602	446	414	697	172	170	675	169	191	154	58	47	133	27	28	132	37	21	0	0	0	0	0	0	0	0	0	257	72	72	184	51	43	120	22	31	0	0	0	0	0	0	0	0	0	86	24	24	0	0	0	0	0	1	0	0	0	0	0	0	6160
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Parahaliea	63	13	8	79	15	17	64	21	16	110	32	23	136	38	38	259	67	53	160	32	38	163	37	52	106	28	32	1348	320	332	551	113	146	706	181	170	0	0	0	0	0	0	0	0	0	381	110	99	0	0	0	0	0	0	0	0	0	0	0	0	6157
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira	1084	275	319	912	233	222	1869	506	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	4	0	0	5	1	2	0	0	0	0	0	0	0	0	0	11	5	4	0	0	0	0	0	0	0	0	0	0	0	0	5953
