"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"12a",89038,87711,86935,87254,80992,52038
"12b",106842,105571,104696,105050,95526,60641
"12c",124307,122786,121924,122242,112001,75037
"1a",121557,119841,119326,119605,101154,68171
"1b",119675,117783,116132,117221,92249,59340
"1c",72073,71153,69922,71063,21163,13426
"21a",100399,98939,97782,98094,81373,44755
"21b",115540,114171,112817,113285,92713,52605
"21c",88786,87343,86031,86579,73236,41961
"2a",104146,102518,101015,101761,82087,49654
"3a",148628,146198,144298,144620,123179,68331
"3b",112476,110647,109006,109358,92557,49767
"3c",123591,121779,119795,120132,103131,54950
"4a",110237,108666,106770,107441,92594,54401
"4b",111144,109344,107425,107959,93248,53484
"4c",113961,112115,111875,111957,93899,64716
"6a",92730,91267,89516,89970,77331,45182
"6b",101547,100077,98124,98669,85428,50612
"6c",125207,123228,121747,122299,104595,65185
"nega",5743,5662,5575,5662,1831,1255
"negp",3290,3241,3166,3217,1404,960
"Za",90596,88934,87397,87824,61830,22269
"Zb",110037,108490,106511,106968,76812,28091
"Zc",87643,86071,84801,85200,64902,24892
